symbol,macro,industry,basic
1STCUS,Financial Services,Finance,Non Banking Financial Company (NBFC)
20MICRONS,Metals & Mining,Minerals & Mining,Industrial Minerals
21STCENMGM,Financial Services,Capital Markets,Other Capital Market related Services
360ONE,Financial Services,Capital Markets,Stockbroking & Allied
3BBLACKBIO,Healthcare,Healthcare Services,Healthcare Service Provider
3BFILMS,Capital Goods,Industrial Products,Packaging
3CIT,Information Technology,IT - Services,IT Enabled Services
3IINFOLTD,Information Technology,IT - Software,Computers - Software & Consulting
3MINDIA,Diversified,Diversified,Diversified
3PLAND,Financial Services,Finance,Investment Company
4THGEN,Information Technology,IT - Software,Software Products
5PAISA,Financial Services,Capital Markets,Stockbroking & Allied
63MOONS,Information Technology,IT - Software,Computers - Software & Consulting
7NR,Consumer Services,Retailing,Speciality Retail
7SEASL,"Media, Entertainment & Publication",Entertainment,Digital Entertainment
7TEC,Information Technology,IT - Services,IT Enabled Services
A1L,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
A2ZINFRA,Services,Commercial Services & Supplies,Diversified Commercial Services
AAATECH,Services,Commercial Services & Supplies,Consulting Services
AADHARHFC,Financial Services,Finance,Housing Finance Company
AADIIND,Chemicals,Chemicals & Petrochemicals,Petrochemicals
AAIL,Automobile and Auto Components,Auto Components,Auto Components & Equipments
AANCHALISP,Capital Goods,Industrial Products,Iron & Steel Products
AAPLUSTRAD,Services,Commercial Services & Supplies,Trading & Distributors
AARCON,Financial Services,Finance,Other Financial Services
AAREYDRUGS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARNAV,Textiles,Textiles & Apparels,Other Textile Products
AARTECH,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
AARTIDRUGS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTIIND,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARTIPHARM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTISURF,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AASHKA,Healthcare,Healthcare Services,Hospital
AASTAFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
AASTHA,Textiles,Textiles & Apparels,Other Textile Products
AAVAS,Financial Services,Finance,Housing Finance Company
AAYUSH,Fast Moving Consumer Goods,Food Products,Packaged Foods
AAYUSHBULL,Textiles,Textiles & Apparels,Other Textile Products
ABAN,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
ABANSENT,Metals & Mining,Metals & Minerals Trading,Trading - Metals
ABATEAS,Healthcare,Healthcare Services,Hospital
ABB,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ABBOTINDIA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ABCAPITAL,Financial Services,Finance,Investment Company
ABCINDQ,Services,Transport Services,Road Transport
ABCOTS,Textiles,Textiles & Apparels,Other Textile Products
ABDL,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
ABFRL,Consumer Services,Retailing,Speciality Retail
ABHICAP,Financial Services,Finance,Non Banking Financial Company (NBFC)
ABHIFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
ABHIINFRA,Realty,Realty,"Residential, Commercial Projects"
ABINFRA,Construction,Construction,Civil Construction
ABIRAFN,Financial Services,Finance,Non Banking Financial Company (NBFC)
ABLBL,Consumer Services,Retailing,Speciality Retail
ABMKNO,Information Technology,IT - Software,Software Products
ABREL,Realty,Realty,"Residential, Commercial Projects"
ABRFL,Fast Moving Consumer Goods,Food Products,Other Food Products
ABRIL,Capital Goods,Industrial Products,Other Industrial Products
ABSLAMC,Financial Services,Capital Markets,Asset Management Company
ABVL,Financial Services,Finance,Other Financial Services
ACC,Construction Materials,Cement & Cement Products,Cement & Cement Products
ACCEDERE,Information Technology,IT - Software,Computers - Software & Consulting
ACCEL,Information Technology,IT - Software,Computers - Software & Consulting
ACCELERATE,Information Technology,IT - Software,Computers - Software & Consulting
ACCELYA,Information Technology,IT - Software,Computers - Software & Consulting
ACCORDTS,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ACCURACY,Services,Transport Services,Logistics Solution Provider
ACE,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
ACEALPHA,Information Technology,IT - Software,Computers - Software & Consulting
ACEEDU,Consumer Services,Other Consumer Services,Education
ACEMEN,Consumer Services,Retailing,Distributors
ACESOFT,Information Technology,IT - Software,Software Products
ACFL,Financial Services,Finance,Non Banking Financial Company (NBFC)
ACFSL,Financial Services,Finance,Non Banking Financial Company (NBFC)
ACGL,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ACHYUT,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ACI,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ACIIN,Information Technology,IT - Hardware,Computers Hardware & Equipments
ACKNIT,Textiles,Textiles & Apparels,Other Textile Products
ACL,Construction Materials,Cement & Cement Products,Cement & Cement Products
ACLD,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
ACME,Financial Services,Finance,Non Banking Financial Company (NBFC)
ACMESOLAR,Power,Power,Power Generation
ACML,Consumer Services,Retailing,Diversified Retail
ACROW,Capital Goods,Industrial Products,Iron & Steel Products
ACSTECH,Information Technology,IT - Services,IT Enabled Services
ACTIVE,Textiles,Textiles & Apparels,Garments & Apparels
ACUTAAS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ADANIENSOL,Power,Power,Power Distribution
ADANIENT,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
ADANIGREEN,Power,Power,Power Generation
ADANIPORTS,Services,Transport Infrastructure,Port & Port services
ADANIPOWER,Power,Power,Integrated Power Utilities
ADARSHPL,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
ADCINDIA,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
ADCON,Financial Services,Finance,Non Banking Financial Company (NBFC)
ADCOUNTY,"Media, Entertainment & Publication",Media,Web based media and service
ADDIND,Textiles,Textiles & Apparels,Garments & Apparels
ADESHWAR,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
ADFFOODS,Fast Moving Consumer Goods,Food Products,Packaged Foods
ADHBHUTIN,Realty,Realty,"Residential, Commercial Projects"
ADHHATA,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
ADINATH,Textiles,Textiles & Apparels,Other Textile Products
ADISHAKTI,Capital Goods,Industrial Products,Iron & Steel Products
ADITYA,Capital Goods,Industrial Products,Iron & Steel Products
ADITYASP,Textiles,Textiles & Apparels,Other Textile Products
ADL,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
ADLINE,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ADMACH,Capital Goods,Industrial Manufacturing,Industrial Products
ADMANUM,Financial Services,Finance,Non Banking Financial Company (NBFC)
ADON,Fast Moving Consumer Goods,Food Products,Other Food Products
ADOR,Capital Goods,Industrial Products,Other Industrial Products
ADROITINFO,Information Technology,IT - Services,IT Enabled Services
ADSDIAG,Healthcare,Healthcare Services,Healthcare Service Provider
ADSL,Information Technology,IT - Services,IT Enabled Services
ADTECH,Capital Goods,Industrial Manufacturing,Industrial Products
ADVAIT,Capital Goods,Electrical Equipment,Other Electrical Equipment
ADVANCE,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
ADVANIHOTR,Consumer Services,Leisure Services,Hotels & Resorts
ADVENTHTL,Consumer Services,Leisure Services,Hotels & Resorts
ADVENZYMES,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology
ADVIKCA,Financial Services,Finance,Non Banking Financial Company (NBFC)
ADVLIFE,Textiles,Textiles & Apparels,Other Textile Products
ADVMULT,Capital Goods,Industrial Products,Plastic Products - Industrial
ADVPETR-B,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
AEGISLOG,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
AEGISVOPAK,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation
AEIM,Capital Goods,Electrical Equipment,Other Electrical Equipment
AEL,Capital Goods,Electrical Equipment,Other Electrical Equipment
AEONXDIGI,Information Technology,IT - Services,IT Enabled Services
AEPL,Capital Goods,Electrical Equipment,Other Electrical Equipment
AEQUS,Capital Goods,Aerospace & Defense,Aerospace & Defense
AEROENTER,Capital Goods,Industrial Products,Iron & Steel Products
AEROFLEX,Capital Goods,Industrial Products,Iron & Steel Products
AERONEU,Capital Goods,Industrial Products,Packaging
AEROPLANE,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
AERPACE,Capital Goods,Industrial Products,Iron & Steel Products
AETHER,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AFCOM,Services,Transport Services,Logistics Solution Provider
AFCONS,Construction,Construction,Civil Construction
AFEL,Services,Commercial Services & Supplies,Trading & Distributors
AFFLE,Information Technology,IT - Services,IT Enabled Services
AFFORDABLE,Capital Goods,Industrial Manufacturing,Industrial Products
AFIL,Financial Services,Finance,Non Banking Financial Company (NBFC)
AFLTD,Automobile and Auto Components,Auto Components,Auto Components & Equipments
AFSL,Financial Services,Finance,Holding Company
AGARIND,Chemicals,Chemicals & Petrochemicals,Petrochemicals
AGARWAL,Capital Goods,Industrial Products,Glass - Industrial
AGARWALEYE,Healthcare,Healthcare Services,Hospital
AGI,Capital Goods,Industrial Products,Packaging
AGIIL,Realty,Realty,"Residential, Commercial Projects"
AGIOPAPER,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
AGL,Services,Transport Services,Logistics Solution Provider
AGOL,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
AGRIBIO,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
AGRITECH,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
AGVENTURES,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
AHASOLAR,Consumer Services,Retailing,E-Retail/ E-Commerce
AHCL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AHLEAST,Consumer Services,Leisure Services,Hotels & Resorts
AHLUCONT,Construction,Construction,Civil Construction
AHLWEST,Consumer Services,Leisure Services,Hotels & Resorts
AHMDSTE,Capital Goods,Industrial Products,Iron & Steel Products
AIAENG,Capital Goods,Industrial Products,Castings & Forgings
AICHAMP,Forest Materials,"Paper, Forest & Jute Products",Jute & Jute Products
AIHL,Services,Commercial Services & Supplies,Trading & Distributors
AIIL,Financial Services,Finance,Non Banking Financial Company (NBFC)
AIKPIPES,Capital Goods,Industrial Products,Plastic Products - Industrial
AIMCOPEST,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
AIML,Capital Goods,Industrial Products,Iron & Steel Products
AIRAN,Information Technology,IT - Services,IT Enabled Services
AIRFLOA,Capital Goods,Industrial Manufacturing,Industrial Products
AJANTPHARM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AJANTSOY,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
AJAXENGG,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
AJCJEWEL,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
AJCON,Financial Services,Finance,Other Financial Services
AJMERA,Realty,Realty,"Residential, Commercial Projects"
AJWAFUN,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation
AKCAPIT,Financial Services,Finance,Non Banking Financial Company (NBFC)
AKI,Consumer Durables,Consumer Durables,Leather And Leather Products
AKSHAR,Textiles,Textiles & Apparels,Other Textile Products
AKSHARCHEM,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
AKSHOPTFBR,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
AKUMS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALANKIT,Services,Commercial Services & Supplies,Diversified Commercial Services
ALANSCOTT,Financial Services,Finance,Holding Company
ALBERTDAVD,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALEMBICLTD,Realty,Realty,"Residential, Commercial Projects"
ALEXANDER,Diversified,Diversified,Diversified
ALFAICA,Capital Goods,Industrial Products,Plastic Products - Industrial
ALFATRAN,Capital Goods,Electrical Equipment,Other Electrical Equipment
ALFAVIO,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
ALFL,Financial Services,Finance,Non Banking Financial Company (NBFC)
ALFREDHE,Financial Services,Finance,Non Banking Financial Company (NBFC)
ALGOQUANT,Financial Services,Capital Markets,Stockbroking & Allied
ALICON,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ALIVUS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALKALI,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ALKEM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALKOSIGN,Fast Moving Consumer Goods,Household Products,Stationary
ALKYLAMINE,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ALLCARGO,Services,Transport Services,Logistics Solution Provider
ALLDIGI,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
ALLTIME,Consumer Durables,Consumer Durables,Houseware
ALMONDZ,Financial Services,Capital Markets,Stockbroking & Allied
ALNATRD,Services,Commercial Services & Supplies,Trading & Distributors
ALOKINDS,Textiles,Textiles & Apparels,Other Textile Products
ALPA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALPHAGEO,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
ALPHAIND,Capital Goods,Industrial Products,Other Industrial Products
ALPHALOGIC,Information Technology,IT - Software,Computers - Software & Consulting
ALPINEHOU,Realty,Realty,"Residential, Commercial Projects"
ALPINETEX,Textiles,Textiles & Apparels,Other Textile Products
ALSL,Financial Services,Finance,Other Financial Services
ALUFLUOR,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
AMAGI,Information Technology,IT - Services,IT Enabled Services
AMAL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AMALGAM,Services,Commercial Services & Supplies,Diversified Commercial Services
AMANAYA,Metals & Mining,Non - Ferrous Metals,Precious Metals
AMANTA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AMARJOTHI,Textiles,Textiles & Apparels,Other Textile Products
AMARNATH,Financial Services,Finance,Non Banking Financial Company (NBFC)
AMARSEC,Financial Services,Finance,Non Banking Financial Company (NBFC)
AMBALALSA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AMBARPIL,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
AMBER,Consumer Durables,Consumer Durables,Household Appliances
AMBICAAGAR,Fast Moving Consumer Goods,Household Products,Household Products
AMBIKCO,Textiles,Textiles & Apparels,Other Textile Products
AMBIT,Services,Commercial Services & Supplies,Trading & Distributors
AMBOAGRI,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
AMBUJACEM,Construction Materials,Cement & Cement Products,Cement & Cement Products
AMCOIND,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
AMDIND,Capital Goods,Industrial Products,Packaging
AMEENJI,Capital Goods,Industrial Products,Rubber
AMERISE,Capital Goods,Industrial Products,Plastic Products - Industrial
AMFORG,Automobile and Auto Components,Auto Components,Auto Components & Equipments
AMIC,Capital Goods,Industrial Products,Castings & Forgings
AMINTAN,Consumer Durables,Consumer Durables,Leather And Leather Products
AMITSEC,Financial Services,Finance,Non Banking Financial Company (NBFC)
AMJLAND,Realty,Realty,"Residential, Commercial Projects"
AMKAY,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
AMNPLST,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
AMPL,Financial Services,Finance,Non Banking Financial Company (NBFC)
AMPVOLTS,Power,Power,Power Distribution
AMRAAGRI,Textiles,Textiles & Apparels,Other Textile Products
AMRAFIN,Financial Services,Finance,Investment Company
AMRAPLIN,Services,Commercial Services & Supplies,Trading & Distributors
AMRUTANJAN,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AMS,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AMTL,Power,Power,Power Generation
AMWILL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ANANDPROJ,Construction,Construction,Civil Construction
ANANDRATHI,Financial Services,Capital Markets,Financial Products Distributor
ANANTRAJ,Realty,Realty,"Residential, Commercial Projects"
ANDHRAPAP,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
ANDHRAPET,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
ANDHRSUGAR,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
ANDREWYU,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
ANG,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ANGEL,Textiles,Textiles & Apparels,Other Textile Products
ANGELONE,Financial Services,Capital Markets,Stockbroking & Allied
ANIKINDS,Services,Commercial Services & Supplies,Trading & Distributors
ANIRIT,Textiles,Textiles & Apparels,Other Textile Products
ANJANI,Textiles,Textiles & Apparels,Other Textile Products
ANJANIFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
ANJANIFOODS,Fast Moving Consumer Goods,Food Products,Packaged Foods
ANKIN,Consumer Durables,Consumer Durables,Leather And Leather Products
ANKITMETAL,Metals & Mining,Ferrous Metals,Iron & Steel
ANL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ANMOL,"Oil, Gas & Consumable Fuels",Consumable Fuels,Trading Coal
ANNAINFRA,Financial Services,Finance,Non Banking Financial Company (NBFC)
ANSALAPI,Realty,Realty,"Residential, Commercial Projects"
ANSALBU,Realty,Realty,"Residential, Commercial Projects"
ANSALHSG,Realty,Realty,"Residential, Commercial Projects"
ANSINDUS,Fast Moving Consumer Goods,Beverages,Other Beverages
ANTARIKSH,Realty,Realty,"Residential, Commercial Projects"
ANTELOPUS,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
ANTHEM,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology
ANUBHAV,Capital Goods,Industrial Products,Iron & Steel Products
ANUHPHR,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ANUP,Capital Goods,Industrial Manufacturing,Industrial Products
ANUPAM,Financial Services,Finance,Non Banking Financial Company (NBFC)
ANURAS,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ANUROOP,Capital Goods,Industrial Products,Packaging
ANVRDHI,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
APARINDS,Capital Goods,Electrical Equipment,Other Electrical Equipment
APCL,Construction Materials,Cement & Cement Products,Cement & Cement Products
APCOTEXIND,Capital Goods,Industrial Products,Rubber
APEX,Fast Moving Consumer Goods,Food Products,Seafood
APIS,Fast Moving Consumer Goods,Food Products,Other Food Products
APL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
APLAB,Capital Goods,Electrical Equipment,Other Electrical Equipment
APLAPOLLO,Capital Goods,Industrial Products,Iron & Steel Products
APLLTD,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
APMIN,Textiles,Textiles & Apparels,Other Textile Products
APOLLO,Capital Goods,Aerospace & Defense,Aerospace & Defense
APOLLOFI,Financial Services,Finance,Non Banking Financial Company (NBFC)
APOLLOHOSP,Healthcare,Healthcare Services,Hospital
APOLLOIN,Services,Commercial Services & Supplies,Diversified Commercial Services
APOLLOPIPE,Capital Goods,Industrial Products,Plastic Products - Industrial
APOLLOTYRE,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
APOORVA,Financial Services,Finance,Other Financial Services
APPL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
APTECHT,Consumer Services,Other Consumer Services,Education
APTPACK,Capital Goods,Industrial Products,Packaging
APTUS,Financial Services,Finance,Housing Finance Company
AQYLON,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
ARAVALIS,Services,Commercial Services & Supplies,Trading & Distributors
ARCFIN,Financial Services,Finance,Other Financial Services
ARCHIDPLY,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
ARCHIES,Consumer Durables,Consumer Durables,Leisure Products
ARCHITORG,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
ARCL,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
ARDIALL,Services,Commercial Services & Supplies,Diversified Commercial Services
ARE&M,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ARENTERP,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
AREXMIS,Textiles,Textiles & Apparels,Other Textile Products
ARFIN,Metals & Mining,Non - Ferrous Metals,Aluminium
ARIES,Chemicals,Fertilizers & Agrochemicals,Fertilizers
ARIGATO,Capital Goods,Industrial Manufacturing,Industrial Products
ARIHANT,Realty,Realty,"Residential, Commercial Projects"
ARIHANTCAP,Financial Services,Capital Markets,Stockbroking & Allied
ARIHANTSUP,Realty,Realty,"Residential, Commercial Projects"
ARIS,Construction Materials,Other Construction Materials,Other Construction Materials
ARISE,Services,Commercial Services & Supplies,Diversified Commercial Services
ARITAS,Consumer Durables,Consumer Durables,Leather And Leather Products
ARKADE,Realty,Realty,"Residential, Commercial Projects"
ARL,Textiles,Textiles & Apparels,Trading - Textile Products
ARMAN,Financial Services,Finance,Investment Company
ARMANFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
ARNOLD,Financial Services,Finance,Non Banking Financial Company (NBFC)
AROGRANITE,Consumer Durables,Consumer Durables,Granites & Marbles
ARROWGREEN,Capital Goods,Industrial Products,Packaging
ARROWHEAD,Capital Goods,Industrial Manufacturing,Industrial Products
ARSHIYA,Services,Transport Services,Logistics Solution Provider
ARSSBL,Financial Services,Capital Markets,Stockbroking & Allied
ARTEFACT,Services,Commercial Services & Supplies,Consulting Services
ARTEMISADR,Fast Moving Consumer Goods,Food Products,Other Food Products
ARTEMISMED,Healthcare,Healthcare Services,Hospital
ARTSON,Capital Goods,Industrial Manufacturing,Industrial Products
ARUNAHTEL,Consumer Services,Leisure Services,Hotels & Resorts
ARVAYA,Services,Commercial Services & Supplies,Trading & Distributors
ARVIND,Textiles,Textiles & Apparels,Garments & Apparels
ARVINDFASN,Consumer Services,Retailing,Speciality Retail
ARVSMART,Realty,Realty,"Residential, Commercial Projects"
ARYACAPM,Financial Services,Finance,Investment Company
ARYAMAN,Financial Services,Finance,Non Banking Financial Company (NBFC)
ARYAN,Financial Services,Finance,Other Financial Services
ARYAVAN,Capital Goods,Industrial Products,Iron & Steel Products
ASAHIINDIA,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ASAHISONG,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
ASAL,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ASALCBR,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
ASARFI,Healthcare,Healthcare Services,Hospital
ASCENSIVE,Consumer Services,Other Consumer Services,Education
ASGARD,Services,Commercial Services & Supplies,Diversified Commercial Services
ASHAI,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
ASHAPURMIN,Metals & Mining,Minerals & Mining,Industrial Minerals
ASHCAP,Financial Services,Finance,Other Financial Services
ASHIANA,Realty,Realty,"Residential, Commercial Projects"
ASHIKA,Financial Services,Finance,Non Banking Financial Company (NBFC)
ASHIMASYN,Textiles,Textiles & Apparels,Other Textile Products
ASHISHPO,Capital Goods,Industrial Products,Plastic Products - Industrial
ASHNI,Services,Commercial Services & Supplies,Trading & Distributors
ASHNOOR,Textiles,Textiles & Apparels,Other Textile Products
ASHOKA,Construction,Construction,Civil Construction
ASHOKAMET,Metals & Mining,Metals & Minerals Trading,Trading - Metals
ASHOKLEY,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
ASHRAM,Healthcare,Healthcare Services,Healthcare Service Provider
ASHSI,Capital Goods,Industrial Products,Iron & Steel Products
ASHUTPM,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
ASIACAP,Financial Services,Finance,Non Banking Financial Company (NBFC)
ASIAN,Consumer Services,Other Consumer Services,Food Storage Facilities
ASIANENE,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services
ASIANHOTNR,Consumer Services,Leisure Services,Hotels & Resorts
ASIANPAINT,Consumer Durables,Consumer Durables,Paints
ASIANTILES,Consumer Durables,Consumer Durables,Ceramics
ASIANTNE,Services,Commercial Services & Supplies,Trading & Distributors
ASIAPAK,Textiles,Textiles & Apparels,Other Textile Products
ASIIL,Metals & Mining,Minerals & Mining,Industrial Minerals
ASINPET,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
ASITCFIN,Financial Services,Capital Markets,Stockbroking & Allied
ASKAUTOLTD,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ASMS,Information Technology,IT - Services,IT Enabled Services
ASMTEC,Information Technology,IT - Software,Computers - Software & Consulting
ASPIRA,Healthcare,Healthcare Services,Healthcare Service Provider
ASRL,Consumer Services,Retailing,E-Retail/ E-Commerce
ASSAMENT,Financial Services,Finance,Non Banking Financial Company (NBFC)
ASSOCER,Construction Materials,Other Construction Materials,Other Construction Materials
ASSOCIATED,Capital Goods,Industrial Products,Other Industrial Products
ASTALLTD,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ASTAR,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
ASTEC,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
ASTERDM,Healthcare,Healthcare Services,Hospital
ASTONEALAB,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ASTRAL,Capital Goods,Industrial Products,Plastic Products - Industrial
ASTRAMICRO,Capital Goods,Aerospace & Defense,Aerospace & Defense
ASTRAZEN,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ASTRON,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
ASTRONMULT,Fast Moving Consumer Goods,Food Products,Packaged Foods
ASUTENT,Services,Commercial Services & Supplies,Trading & Distributors
ATALREAL,Realty,Realty,"Residential, Commercial Projects"
ATAM,Capital Goods,Industrial Manufacturing,Industrial Products
ATENPAPERS,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
ATGL,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
ATHARVA,Consumer Durables,Consumer Durables,Plastic Products - Consumer
ATHARVENT,Financial Services,Finance,Non Banking Financial Company (NBFC)
ATHCON,Realty,Realty,"Residential, Commercial Projects"
ATHENAGLO,Information Technology,IT - Software,Computers - Software & Consulting
ATHERENERG,Automobile and Auto Components,Automobiles,2/3 Wheelers
ATIL,Capital Goods,Industrial Manufacturing,Industrial Products
ATISHAY,Information Technology,IT - Software,Software Products
ATL,Services,Transport Infrastructure,Port & Port services
ATLANTAA,Services,Transport Infrastructure,"Road Assets–Toll, Annuity, Hybrid-Annuity"
ATLANTAELE,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ATLASCYCLE,Consumer Durables,Consumer Durables,Cycles
ATUL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ATULAUTO,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
ATVOENT,Textiles,Textiles & Apparels,Other Textile Products
ATVPR,Capital Goods,Industrial Manufacturing,Industrial Products
AUBANK,Financial Services,Banks,Other Bank
AUREATE,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
AURIONPRO,Information Technology,IT - Software,Computers - Software & Consulting
AUROLAB,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AUROPHARMA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AURUM,Information Technology,IT - Services,IT Enabled Services
